StartDate,EndDate,Duration (in seconds),att1_1,att1_2,att1_3,base_mor,base_prac,base_cons,base_know,base_emo,att2_1,att2_2,att2_3,resp1,Th1VA,resp2,Th2VA,resp3,Th3VA,resp4,Th4VA,resp5,Th5VA,resp6,Th6VA,essMoral,essPrac,poli_soc,poli_econ,age,gender,gen_4_TEXT,gen_DO,language,language_10_TEXT,FL_12_DO,AttitudeBases_DO,cond.F,cond
2022/11/16 9:47,2022/11/16 9:59,743,4,2,2,5,3,4,4,3,2,1,1,"recycling behavior is relevant to the people who carried the behavior out, depending on their efforts put into the conduct.",3,,NA,,NA,,NA,,NA,,NA,3,3,2,4,23,Female,,2|3|4|1,Chinese,,Message- PracticalArguments,base_emo|base_prac|base_cons|base_know|base_mor,Practical Arguement,1
2022/11/16 22:53,2022/11/16 22:55,117,2,2,-1,3,4,3,3,3,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,24,Female,,2|4|1|3,English,,Message- PracticalArguments,base_mor|base_prac|base_emo|base_know|base_cons,Practical Arguement,1
2022/11/16 22:53,2022/11/16 23:02,565,4,4,4,2,3,2,3,4,3,3,2,Recycling will take time to be implemented due to greed ,3,Robots might be a good solution to pick up trash ,4,Some trash should be sent to space to avoid contamination of water eg nuclear waste,4,Paper is biodegradable but plastic is the problem ,4,With oil companies driven by greed what's likely going to kill us first is global warming never mind waste,4,I think we are just doomed I feel sorry for future generations ,4,2,1,3,3,28,Male,,4|1|3|2,English,,Message- PracticalArguments,base_know|base_emo|base_cons|base_prac|base_mor,Practical Arguement,1
2022/11/17 17:13,2022/11/17 17:17,234,4,4,4,4,4,3,4,3,4,4,4,recycling plays a huge role in our society,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,2,2,23,Male,,1|2|3|4,Other (specify),Polish,Message- PracticalArguments,base_mor|base_know|base_cons|base_prac|base_emo,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:18,136,4,4,4,4,3,2,3,3,4,4,4,Some recycling programmes should be more government backed as it is a nation wide issue.,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,2,3,21,Male,,2|4|1|3,English,,Message- PracticalArguments,base_mor|base_know|base_cons|base_prac|base_emo,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:18,170,4,4,4,4,5,1,4,1,3,3,3,these are valid concerns,1,there must be a way to transport materials better,1,it's fumes vs ocean plastic,NA,NA,NA,NA,NA,NA,NA,7,2,1,1,28,Female,,3|4|2|1,English,,Message- PracticalArguments,base_know|base_mor|base_cons|base_emo|base_prac,Moral Arguement,-1
2022/12/2 12:16,2022/12/2 12:19,185,4,4,4,5,5,4,5,4,2,2,2,frustrated,4,sad,4,concerned,4,NA,NA,NA,NA,NA,NA,2,7,2,3,21,Male,,2|4|3|1,Other (specify),Portuguese,Message- PracticalArguments,base_cons|base_emo|base_mor|base_know|base_prac,Practical Arguement,1
2022/12/2 12:17,2022/12/2 12:19,127,0,-2,-2,2,2,1,4,1,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,31,Female,,4|2|3|1,Spanish,,Message- PracticalArguments,base_prac|base_mor|base_know|base_emo|base_cons,Practical Arguement,1
2022/12/2 12:16,2022/12/2 12:19,179,4,3,3,3,2,4,4,2,4,3,4,Decreases the Landfill Waste,2,Redueces the raw material consumed ,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,34,Male,,4|3|2|1,English,,Message- PracticalArguments,base_emo|base_mor|base_know|base_cons|base_prac,Practical Arguement,1
2022/12/2 12:17,2022/12/2 12:20,201,4,4,4,4,3,2,3,4,4,4,4,Its one sided.,2,Person who wrote this had definitely negative thoughts only,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,22,Male,,1|2|3|4,Other (specify),Polish,Message- PracticalArguments,base_mor|base_emo|base_prac|base_know|base_cons,Practical Arguement,1
